0048ba	absolute zero
4c2f27	acajou
b0bf1a	acid green
7cb9e8	aero
c9ffe5	aero blue
b284be	african violet
5d8aa8	air force blue
00308f	air force blue
72a0c1	air superiority blue
af002a	alabama crimson
f2f0e6	alabaster
f0f8ff	alice blue
84de02	alien armpit
e32636	alizarin crimson
c46210	alloy orange
efdecd	almond
e52b50	amaranth
9f2b68	amaranth deep purple
f19cbb	amaranth pink
ab274f	amaranth purple
d3212d	amaranth red
3b7a57	amazon
00c4b0	amazonite
ffbf00	amber
ff7e00	amber
3b3b6d	american blue
391802	american bronze
804040	american brown
d3af37	american gold
34b334	american green
ff8b00	american orange
ff9899	american pink
431c53	american purple
b32134	american red
ff033e	american rose
cfcfcf	american silver
551b8c	american violet
f2b400	american yellow
9966cc	amethyst
a4c639	android green
f2f3f4	anti-flash white
cd9575	antique brass
665d1e	antique bronze
915c83	antique fuchsia
841b2d	antique ruby
faebd7	antique white
008000	ao
66b447	apple
8db600	apple green
fbceb1	apricot
00ffff	aqua
7fffd4	aquamarine
d0ff14	arctic lime
4b5320	army green
3b444b	arsenic
8f9779	artichoke
e9d66b	arylide yellow
b2beb5	ash grey
87a96b	asparagus
003a6c	ateneo blue
ff9966	atomic tangerine
a52a2a	auburn
fdee00	aureolin
6e7f80	aurometalsaurus
568203	avocado
ff2052	awesome
63775b	axolotl
c39953	aztec gold
007fff	azure
f0ffff	azure
f0ffff	azure mist
dbe9f4	azureish white
89cff0	baby blue
a1caf1	baby blue eyes
f4c2c2	baby pink
fefefa	baby powder
ff91af	baker-miller pink
21abcd	ball blue
fae7b5	banana mania
ffe135	banana yellow
006a4e	bangladesh green
e0218a	barbie pink
7c0a02	barn red
1dacd6	battery charged blue
848482	battleship grey
98777b	bazaar
bcd4e6	beau blue
fa6e79	begonia
9f8170	beaver
f28e1c	beer
f5f5dc	beige
2e5894	b'dazzled blue
9c2542	big dip o’ruby
e88e5a	big foot feet
ffe4c4	bisque
3d2b1f	bistre
967117	bistre brown
cae00d	bitter lemon
bfff00	bitter lime
fe6f5e	bittersweet
bf4f51	bittersweet shimmer
000000	black
3d0c02	black bean
1b1811	black chocolate
3b2f2f	black coffee
54626f	black coral
253529	black leather jacket
3b3c36	black olive
8f5973	blackberry
bfafb2	black shadows
ffebcd	blanched almond
a57164	blast-off bronze
318ce7	bleu de france
ace5ee	blizzard blue
faf0be	blond
8a0303	blood
d1001c	blood orange
660000	blood red
a41313	blood
630f0f	blood
0000ff	blue
1f75fe	blue
0093af	blue
0087bd	blue
0018a8	blue
333399	blue
0247fe	blue
a2a2d0	blue bell
00b9fb	blue bolt
0088dc	blue cola
6699cc	blue-gray
0d98ba	blue-green
5dadec	blue jeans
ace5ee	blue lagoon
553592	blue-magenta violet
126180	blue sapphire
8a2be2	blue-violet
7366bd	blue-violet
4d1a7f	blue-violet
5072a7	blue yonder
4f86f7	blueberry
1c1cf0	bluebonnet
de5d83	blush
79443b	bole
0095b6	bondi blue
e3dac9	bone
dde26a	booger buster
cc0000	boston university red
006a4e	bottle green
873260	boysenberry
0070ff	brandeis blue
87413f	brandy
b5a642	brass
cb4154	brick red
1dacd6	bright cerulean
ebecf0	bright gray
66ff00	bright green
bf94e4	bright lavender
d891ef	bright lilac
c32148	bright maroon
1974d2	bright navy blue
ff007f	bright pink
08e8de	bright turquoise
d19fe8	bright ube
ffaa1d	bright yellow
3399ff	brilliant azure
f4bbff	brilliant lavender
ff55a3	brilliant rose
fb607f	brink pink
004225	british racing green
88540b	bronze
cd7f32	bronze
b08d57	bronze
737000	bronze yellow
993300	brown
af593e	brown
964b00	brown
a52a2a	brown
6b4423	brown-nose
af6e4d	brown sugar
5f1933	brown chocolate
4a2c2a	brown coffee
cc9966	brown yellow
1b4d3e	brunswick green
ffc1cc	bubble gum
e7feff	bubbles
7bb661	bud green
f0dc82	buff
480607	bulgarian rose
800020	burgundy
deb887	burlywood
a17a74	burnished brown
cc5500	burnt orange
e97451	burnt sienna
8a3324	burnt umber
24a0ed	button blue
bd33a4	byzantine
702963	byzantium
536872	cadet
5f9ea0	cadet blue
a9b2c3	cadet blue
91a3b0	cadet grey
0a1195	cadmium blue
006b3c	cadmium green
ed872d	cadmium orange
b60c26	cadmium purple
e30022	cadmium red
fff600	cadmium yellow
7f3e98	cadmium violet
a67b5b	café au lait
4b3621	café noir
1e4d2b	cal poly pomona green
fcffa4	calamansi
a3c1ad	cambridge blue
c19a6b	camel
efbbcc	cameo pink
78866b	camouflage green
ffff99	canary
ffef00	canary yellow
ff0800	candy apple red
e4717a	candy pink
00bfff	capri
592720	caput mortuum
ffd59a	caramel
c41e3a	cardinal
00cc99	caribbean green
960018	carmine
d70040	carmine
eb4c42	carmine pink
ff0038	carmine red
ffa6c9	carnation pink
b31b1b	carnelian
56a0d3	carolina blue
ed9121	carrot orange
00563f	castleton green
062a78	catalina blue
703642	catawba
c95a49	cedar chest
92a1cf	ceil
ace1af	celadon
007ba7	celadon blue
2f847c	celadon green
b2ffff	celeste
4997d0	celestial blue
246bce	celtic blue
de3163	cerise
ec3b83	cerise pink
007ba7	cerulean
2a52be	cerulean blue
001440	cetacean blue
6d9bc3	cerulean frost
1dacd6	cerulean
